Package,t_envio,t_recibido,emisor,receptor,latencia,p_fifo
00040bdc,201465,201875,4,3,410,3
00029735,201645,201905,6,1,260,3
00038071,201385,201905,1,2,520,3
00017ce4,201805,201915,4,0,110,3
00019b23,201725,201975,3,0,250,3
00016cf7,201475,202015,11,0,540,3
00030634,201775,202055,14,2,280,3
00044587,201885,202065,10,3,180,3
00048649,201655,202125,9,3,470,3
0003bef2,201935,202395,7,2,460,3
0001f16a,300425,300505,1,0,80,3
000245c0,300495,300595,1,1,100,3
0001c8af,300425,300615,6,0,190,3
0001c6eb,300595,300775,1,0,180,3
00049e1a,300655,300775,2,3,120,3
0003476e,300435,300805,9,2,370,3
0004c9a8,300655,300885,15,3,230,3
0004143f,300645,300925,1,3,280,3
000361ec,300515,300945,8,2,430,3
0001e3c6,300835,300995,2,0,160,3
0002ffa3,300725,301095,15,1,370,3
00011e0d,300775,301105,9,0,330,3
0002ffa3,300725,301195,15,1,470,3
00046076,301035,301195,13,3,160,3
00014075,300875,301335,9,0,460,3
0002581c,301045,301335,12,1,290,3
00037e8f,301345,301425,4,2,80,3
00014bd4,300945,301455,14,0,510,3
00046d57,301125,301505,6,3,380,3
00017578,301235,301535,12,0,300,3
00011b94,301515,301615,4,0,100,3
0002b385,301155,301635,6,1,480,3
0001a10b,301045,301675,15,0,630,3
00029942,301305,301745,14,1,440,3
00025a2b,301465,301785,6,1,320,3
00048530,301575,301805,13,3,230,3
0001ab29,301415,301955,14,0,540,3
0004914b,115,575,6,3,460,3
00031db6,100235,100335,12,2,100,3
0004e77e,100335,100475,14,3,140,3
0002564a,100235,100505,5,1,270,3
00048062,100355,100515,1,3,160,3
000405b2,100325,100615,2,3,290,3
00039208,100305,100665,9,2,360,3
0001ece5,100455,100715,8,0,260,3
0003054b,100615,100775,0,2,160,3
00018544,100395,100805,11,0,410,3
0002c608,100535,100845,9,1,310,3
000395d8,100555,100975,6,2,420,3
0002411a,100685,101055,10,1,370,3
00034271,100835,101145,10,2,310,3
0002332c,100785,101195,7,1,410,3
0001065f,100985,101215,12,0,230,3
0004b17c,100735,101235,6,3,500,3
00011e08,101055,101315,12,0,260,3
000382d1,100895,101405,6,2,510,3
000223f4,101135,101425,14,1,290,3
000171ac,101005,101435,11,0,430,3
0002ca20,101015,101465,7,1,450,3
00042fd6,100985,101475,7,3,490,3
00038b98,101075,101485,10,2,410,3
0003fa42,101595,101675,12,2,80,3
0004572b,101305,101705,0,3,400,3
0003b135,101305,101735,7,2,430,3
0003e497,101265,101795,11,2,530,3
0002298a,101525,101865,13,1,340,3
00043fc8,101265,101885,9,3,620,3
0004b3c5,101455,101925,4,3,470,3
0002f2db,101385,101965,11,1,580,3
0003b135,101305,101975,7,2,670,3
000326f4,200525,200565,2,2,40,3
000480c2,200475,200655,14,3,180,3
00019c5c,200355,200665,8,0,310,3
000387e7,200395,200695,5,2,300,3
00016fca,200615,200725,0,0,110,3
0002090f,200655,200855,5,1,200,3
00023d1c,200785,200895,4,1,110,3
00040281,200355,200915,6,3,560,3
0001440d,200695,201085,11,0,390,3
000493d8,201105,201175,12,3,70,3
00012004,200945,201185,5,0,240,3
000406d9,200875,201215,11,3,340,3
0002137b,201095,201355,5,1,260,3
0001d671,201165,201485,13,0,320,3
00020ac8,201305,201495,1,1,190,3
0001efde,201255,201525,7,0,270,3
00039147,201015,201535,11,2,520,3
00029de5,201285,201595,10,1,310,3
00025445,201195,201635,15,1,440,3
00013e2f,201285,201665,9,0,380,3
0003ed68,201635,201705,2,2,70,3
00042f26,201545,201725,13,3,180,3
00040bdc,201465,201875,4,3,410,3
00029735,201645,201905,6,1,260,3
00038071,201385,201905,1,2,520,3
00017ce4,201805,201915,4,0,110,3
00019b23,201725,201975,3,0,250,3
00016cf7,201475,202015,11,0,540,3
00030634,201775,202055,14,2,280,3
00044587,201885,202065,10,3,180,3
00048649,201655,202125,9,3,470,3
0003bef2,201935,202395,7,2,460,3
0001f16a,300425,300505,1,0,80,3
000245c0,300495,300595,1,1,100,3
0001c8af,300425,300615,6,0,190,3
0001c6eb,300595,300775,1,0,180,3
00049e1a,300655,300775,2,3,120,3
0003476e,300435,300805,9,2,370,3
0004c9a8,300655,300885,15,3,230,3
0004143f,300645,300925,1,3,280,3
000361ec,300515,300945,8,2,430,3
0001e3c6,300835,300995,2,0,160,3
0002ffa3,300725,301095,15,1,370,3
00011e0d,300775,301105,9,0,330,3
0002ffa3,300725,301195,15,1,470,3
00046076,301035,301195,13,3,160,3
00014075,300875,301335,9,0,460,3
0002581c,301045,301335,12,1,290,3
00037e8f,301345,301425,4,2,80,3
00014bd4,300945,301455,14,0,510,3
00046d57,301125,301505,6,3,380,3
00017578,301235,301535,12,0,300,3
00011b94,301515,301615,4,0,100,3
0002b385,301155,301635,6,1,480,3
0001a10b,301045,301675,15,0,630,3
00029942,301305,301745,14,1,440,3
00025a2b,301465,301785,6,1,320,3
00048530,301575,301805,13,3,230,3
0001ab29,301415,301955,14,0,540,3
0004bc1a,400615,400735,13,3,120,3
00038947,400555,400755,0,2,200,3
0003b797,400705,400865,12,2,160,3
0004bf8c,400545,400965,9,3,420,3
000124c2,400965,400995,0,0,30,3
0001d64d,400875,401035,1,0,160,3
0003e27d,400635,401095,9,2,460,3
0004e103,401125,401185,12,3,60,3
00047736,400995,401225,15,3,230,3
0004b0b7,400795,401265,5,3,470,3
00011227,401045,401275,2,0,230,3
0001e52d,401155,401375,1,0,220,3
00043789,401245,401385,2,3,140,3
00046a9d,401255,401665,6,3,410,3
0003f9e0,401335,401705,9,2,370,3
00029cc1,401565,401715,12,1,150,3
0001cc41,401485,401725,7,0,240,3
000307a9,401705,401805,3,2,100,3
00011fce,401615,401825,5,0,210,3
0003ce33,401425,401865,9,2,440,3
00038865,401705,401925,12,2,220,3
000405ee,401545,401945,9,3,400,3
000126a5,401895,401985,1,0,90,3
0003e917,401775,401985,1,2,210,3
00027f5a,401705,402025,8,1,320,3
0004dcaf,401805,402115,4,3,310,3
00015b7e,125,245,2,0,120,6
00015b7e,125,245,2,0,120,6
0001ac09,100275,100405,2,0,130,6
000418ea,100325,100555,0,3,230,6
0003ebe5,100385,100645,4,2,260,6
0001724e,100535,100795,3,0,260,6
00015dd8,100445,100835,11,0,390,6
0004f2e2,100625,100875,15,3,250,6
0001fad1,100645,100995,13,0,350,6
00010e47,100715,101235,11,0,520,6
00015b7e,125,245,2,0,120,6
0001ac09,100275,100405,2,0,130,6
000418ea,100325,100555,0,3,230,6
0003ebe5,100385,100645,4,2,260,6
0001724e,100535,100795,3,0,260,6
00015dd8,100445,100835,11,0,390,6
0004f2e2,100625,100875,15,3,250,6
0001fad1,100645,100995,13,0,350,6
00010e47,100715,101235,11,0,520,6
00032d44,200445,200565,1,2,120,6
0002403c,200435,200595,4,1,160,6
0002ad71,200525,200675,3,1,150,6
000215b7,200365,200715,11,1,350,6
0002b1dc,200525,200785,8,1,260,6
00012bdb,200675,200795,4,0,120,6
00045f6d,200645,200805,14,3,160,6
00012ac2,200765,200845,5,0,80,6
000311ce,200565,200955,8,2,390,6
00049f6d,200535,201025,9,3,490,6
00013628,201025,201095,0,0,70,6
00026b6c,200785,201095,9,1,310,6
0004c48d,200925,201185,14,3,260,6
00024bed,200865,201235,10,1,370,6
00024dbe,201115,201275,4,1,160,6
0004bfd2,201005,201275,1,3,270,6
00012635,201135,201445,13,0,310,6
000320aa,201335,201475,1,2,140,6
00038290,201325,201565,15,2,240,6
000422e1,201475,201595,12,3,120,6
00036e8b,201245,201605,8,2,360,6
00042931,201205,201635,5,3,430,6
00014212,201535,201695,5,0,160,6
0002583a,201395,201725,7,1,330,6
0002a137,201685,201785,1,1,100,6
0002a99c,201445,201875,11,1,430,6
00015b7e,125,245,2,0,120,6
0001ac09,100275,100405,2,0,130,6
000418ea,100325,100555,0,3,230,6
0003ebe5,100385,100645,4,2,260,6
0001724e,100535,100795,3,0,260,6
00015dd8,100445,100835,11,0,390,6
0004f2e2,100625,100875,15,3,250,6
0001fad1,100645,100995,13,0,350,6
00010e47,100715,101235,11,0,520,6
00032d44,200445,200565,1,2,120,6
0002403c,200435,200595,4,1,160,6
0002ad71,200525,200675,3,1,150,6
000215b7,200365,200715,11,1,350,6
0002b1dc,200525,200785,8,1,260,6
00012bdb,200675,200795,4,0,120,6
00045f6d,200645,200805,14,3,160,6
00012ac2,200765,200845,5,0,80,6
000311ce,200565,200955,8,2,390,6
00049f6d,200535,201025,9,3,490,6
00013628,201025,201095,0,0,70,6
00026b6c,200785,201095,9,1,310,6
0004c48d,200925,201185,14,3,260,6
00024bed,200865,201235,10,1,370,6
00024dbe,201115,201275,4,1,160,6
0004bfd2,201005,201275,1,3,270,6
00012635,201135,201445,13,0,310,6
000320aa,201335,201475,1,2,140,6
00038290,201325,201565,15,2,240,6
000422e1,201475,201595,12,3,120,6
00036e8b,201245,201605,8,2,360,6
00042931,201205,201635,5,3,430,6
00014212,201535,201695,5,0,160,6
0002583a,201395,201725,7,1,330,6
0002a137,201685,201785,1,1,100,6
0002a99c,201445,201875,11,1,430,6
0004a9d1,201625,201975,15,3,350,6
0004ad8b,201565,202015,9,3,450,6
0001b257,201765,202305,14,0,540,6
0003c6a3,300425,300525,12,2,100,6
000253dc,300625,300735,12,1,110,6
0004eac0,300565,300745,2,3,180,6
0003427b,300515,300755,4,2,240,6
000252b1,300475,300775,6,1,300,6
0002f774,300665,300815,0,1,150,6
0004612a,300535,300865,11,3,330,6
0001f743,300525,300895,14,0,370,6
00047421,300475,301005,8,3,530,6
00032cfd,300685,301015,12,2,330,6
000207ae,300755,301065,6,1,310,6
0001079e,300585,301095,3,0,510,6
00015b7e,125,245,2,0,120,6
0001ac09,100275,100405,2,0,130,6
000418ea,100325,100555,0,3,230,6
0003ebe5,100385,100645,4,2,260,6
0001724e,100535,100795,3,0,260,6
00015dd8,100445,100835,11,0,390,6
0004f2e2,100625,100875,15,3,250,6
0001fad1,100645,100995,13,0,350,6
00010e47,100715,101235,11,0,520,6
00032d44,200445,200565,1,2,120,6
0002403c,200435,200595,4,1,160,6
0002ad71,200525,200675,3,1,150,6
000215b7,200365,200715,11,1,350,6
0002b1dc,200525,200785,8,1,260,6
00012bdb,200675,200795,4,0,120,6
00045f6d,200645,200805,14,3,160,6
00012ac2,200765,200845,5,0,80,6
000311ce,200565,200955,8,2,390,6
00049f6d,200535,201025,9,3,490,6
00013628,201025,201095,0,0,70,6
00026b6c,200785,201095,9,1,310,6
0004c48d,200925,201185,14,3,260,6
00024bed,200865,201235,10,1,370,6
00024dbe,201115,201275,4,1,160,6
0004bfd2,201005,201275,1,3,270,6
00012635,201135,201445,13,0,310,6
000320aa,201335,201475,1,2,140,6
00038290,201325,201565,15,2,240,6
000422e1,201475,201595,12,3,120,6
00036e8b,201245,201605,8,2,360,6
00042931,201205,201635,5,3,430,6
00014212,201535,201695,5,0,160,6
0002583a,201395,201725,7,1,330,6
0002a137,201685,201785,1,1,100,6
0002a99c,201445,201875,11,1,430,6
0004a9d1,201625,201975,15,3,350,6
0004ad8b,201565,202015,9,3,450,6
0001b257,201765,202305,14,0,540,6
0003c6a3,300425,300525,12,2,100,6
000253dc,300625,300735,12,1,110,6
0004eac0,300565,300745,2,3,180,6
0003427b,300515,300755,4,2,240,6
000252b1,300475,300775,6,1,300,6
